operator,campus,state,lat,lon,announced_year,construction_start,first_operation,status,era,source,verified,legacy_first_year,note,announced_source,construction_source,operation_source,siting_rationale,ownership_model,capacity_mw,capacity_basis,capacity_asof,capacity_source
Meta,"Temple, TX",TX,31.10,-97.34,2021,2022,2026,operating,4,,yes,2023,"[RESEARCHED: Oncor/ERCOT figures are supply (PPAs), not demand] Legacy hint 2023 matches no milestone; Dec 2022 construction pause/redesign (kcentv); reopened as $1.2B AI-optimized facility Jul 2026; CAPACITY: No MW disclosed (Oncor/ERCOT aggregate only)","City of Temple announcement (templetx.gov), Dec 2021",Meta Temple info sheet,Datacenter Dynamics / KWTX 2026-07-22 ('Meta starts operations'),'Temple's low cost of doing business and central location between major markets... creates an incredible competitive advantage' (Temple EDC president -- host-city rationale; Meta stated none) -- City of Temple Dec 2021,owner_operated,,,,
Meta,"Mesa, AZ",AZ,33.42,-111.83,2021,2021,2025,operating,4,,yes,2023,"Announced as Facebook after multi-year site evaluation; CAPACITY: No stated load MW; 450 MW figures are SRP-area solar PPAs — supply; interconnection.fyi '25-50 MW' basis unstated, excluded",Arizona Commerce Authority release 2021-08-12,Meta Mesa info sheet,"Meta blog 'Mesa, we are online!' 2025-01-30","'It has great access to infrastructure, opportunities for renewable energy development, strong talent for both construction and operations, and great community partners' (Rachel Peterson, VP Infrastructure) -- AZ Commerce 2021-08-12",owner_operated,,,,
Google,"Mesa, AZ",AZ,33.30,-111.75,2019,2023,,under construction,4,,partial,2023,"Not operational: Google locations page lists Mesa as in development (accessed 2026-08); legacy hint 2023 = groundbreaking, not operation; CAPACITY: SRP discloses no customer load; Google-SRP '430+ MW' portfolio is carbon-free supply, not load",East Valley Tribune 2019-07-01 (Mesa council approves development agreement),GPEC press release 2023-09-06 (groundbreaking),,"Water availability (agreement requires Mesa to make available 1,120 acre-feet) and 'the availability of electricity from Salt River Project also was vital in Mesa's efforts to recruit Google'; anchor on Elliot Road Technology Corridor -- East Valley Tribune 2019-07-01 (city/agreement statements, not Google's)",owner_operated,,,,
Microsoft,"Mount Pleasant, WI",WI,42.71,-87.86,2023,2023,2026,operating,4,"news.microsoft.com 2026-06-23; announced May 2024, equipment online April 2026",yes,2023,"Foxconn site; construction start; announced_year corrected 2024 -> 2023: the Mar 2023 $1B Foxconn-land announcement predates the May 2024 $3.3B announcement; earliest-public-announcement rule applied; CAPACITY: Ramp figure, NOT current draw (~450 MW by 2026 per Yale CEF on the PSC case); 15-yr VLC contract signed Jul 16 2026",Spectrum News 1 / WTMJ 2023-03-28 ($1B data center on Foxconn land announced with village and WEDC; land deal approved Apr 2023),Construction Dive 2023-09-08 (Walsh Construction earthwork began late Aug 2023),news.microsoft.com 2026-06-23 (equipment online Apr 2026; first-phase construction complete Jun 2026),"Foxconn-prepared site: land 'already primed and ready for use' in the established TID 5 technology district (Spectrum News 2023-03-28); WEDC CEO Missy Hughes: 'highly educated workforce, outstanding infrastructure, central location' (Spectrum News 2023-03-28)",owner_operated,2600,contracted,2030,"EEI 'Large Load Projects and Tariffs' list (Jul 2026) quoting We Energies: 'power up to 2,600 MW' for the Microsoft data center + SE Wisconsin load; matched by utility + city + customer; consistent with PSC-WI VLC tariff record"
xAI,"Memphis, TN",TN,35.07,-90.06,2024,2024,2024,operating,4,,yes,2024,"On-site gas turbines; ~122 days site-work-to-training claimed by xAI; interim power from on-site gas turbines (NPR 2024-09-11), locally contested; CAPACITY: TVA approved further increase Feb 2026 (MW not captured); ~35 on-site gas turbines ~422 MW observed Apr 2025 = self-supply, additive; Colossus 2 is a separate row",Greater Memphis Chamber announcement 2024-06-05,Forbes via Wikipedia 'Colossus (data center)' (retrofit of former Electrolux plant began after Mar 2024 site decision),"xAI/Musk operator statements (training began Jul 2024; Colossus online with 100,000 H100s Sep 2024)","Memphis's 'reliable power grid, ability to create a water recycling facility, proximity to the Mississippi River and ample land' (Greater Memphis Chamber); speed decisive -- existing Electrolux building avoided the '18-24 months' a new build required (Chamber/Forbes)",owner_operated,300,contracted,2025,MLGW public update '5-5-25 xAI Update' (mlgw.com): 150 MW energized (TVA-approved Nov 2024) + additional 150 MW with second substation by Dec 2025; matched by customer xAI + Paul Lowry Rd site
Crusoe/OpenAI,"Abilene, TX",TX,32.45,-99.73,2021,2022,2025,operating,4,,yes,2024,"Stargate; Operator evolution: Lancium Clean Campus (2021) -> Crusoe JV hyperscale build ('Project Ludicrous', construction from Jun 2024) -> branded Stargate (OpenAI/Oracle/SoftBank) Jan 2025; campus dates reflect the campus, not the branding; CAPACITY: Ultimate: 1.2 GW campus (Crusoe/Lancium); Oracle announced 600 MW adjacent expansion (Sep 2025); now 8-building Stargate campus","PR Newswire 2021-12-21 (Taylor County/City of Abilene/DCOA partnership with Lancium, $2.4B Clean Campus)",Lancium press release 2022-11-03 (broke ground on Abilene Clean Campus),"Crusoe press release 2025-09-30 ('Flagship Abilene Data Center is Live', serving Oracle and OpenAI Stargate)","Abilene offered an 'ideal location, proximity to abundant wind and solar generation, high-quality workforce and the opportunities to grow' (Lancium CEO McNamara); grid-interactive design with ERCOT -- PR Newswire 2021-12-21; Lancium 2022-11-03",wholesale_leased,200,facility_load,2025,"Crusoe press release Jul 18 2024: '200 MW data center' phase 1 at Lancium Clean Campus, energized 2025; matched by developer + site name"
AWS,"New Carlisle, IN",IN,41.70,-86.42,2024,2024,2025,operating,4,,yes,2024,Branded 'Project Rainier' (Anthropic AI training) at re:Invent Dec 2024; ~18 months announce-to-operational; CAPACITY: ~30 buildings; 7 operational Apr 2026; public I&M settlement order does not itself state campus MW,IEDC / Gov. Holcomb press release with AWS 2024-04-25 (GlobeNewswire),Blackridge Research project profile (physical construction began Sep 2024),CNBC 2025-10-29 (AWS announces Project Rainier operational; 7 buildings active),"Indiana offers 'a business-friendly environment, abundance of infrastructure resources, availability of skilled labor and growing technology and semiconductor sectors' -- IEDC/AWS release 2024-04-25",owner_operated,2250,ultimate_buildout,2027,"Amazon filings with the Indiana URC as reported (Govtech Apr 23 2025): '2,250-megawatt capacity', ~90% load factor; matched by customer + utility I&M + site"
Meta,"Jeffersonville, IN",IN,38.31,-85.74,2024,2024,,under construction,4,,partial,2024,"[RESEARCHED: Under construction; Duke keeps demand confidential] Under construction; operational target 2026 at announcement, no operator online announcement as of Aug 2026; CAPACITY: PowerTracker: 'Announced load: Undisclosed' (Duke Indiana territory)","Meta blog 'Hello, Jeffersonville!' 2024-01-25; IEDC release same day",IEDC 2024-01-25 ('starting construction this month'),,"'Jeffersonville stood out... thanks to its great access to infrastructure, deep pool of talent, and amazing community partners' (Brad Davis, Meta) -- IEDC 2024-01-25",owner_operated,,,,
AWS,"Madison County, MS",MS,32.51,-90.11,2024,2024,,operating,4,,partial,2024,"[RESEARCHED: Entergy renew/CCGT figures = supply built for demand, not demand disclosure] Operating (five buildings operational per Mississippi Today 2026-06-09) but no source names whether first service began 2025 or 2026 -- first_operation blank per no-guessing rule; CAPACITY: Entergy MS/MPSC records state no AWS load MW; 650 MW renewables program and 754 MW Delta Blues CCGT are supply built for the demand — not load figures",Mississippi Today 2024-01-25 (Gov. Reeves special session + AWS confirmation),aboutamazon.com 2026-04-09 ('broke ground... two years' prior); Magnolia Tribune Sep 2024 construction coverage,,"No AWS-stated rationale. State package: Entergy to supply power and build $2-3B new solar/gas generation; $44M appropriation, $215M loan, permanent equipment sales-tax exemption, 10-yr income-tax exemption; Reeves: 'Mississippi is building a business climate that is ripe for further growth' -- Mississippi Today 2024-01-25",owner_operated,,,,
AWS,"Berwick (Susquehanna), PA",PA,41.09,-76.15,2021,2021,2023,operating,4,,yes,2024,"Nuclear co-location; OPERATOR CHANGE: built by Talen Energy's Cumulus Data 2021-2023; AWS acquired the 1,200-acre campus for $650M Mar 2024; dates reflect the campus (Cumulus era), AWS-era use post-2024; CAPACITY: AWS targets 960 MW ultimate (120 MW increments); Jun 2025 Talen-AWS front-of-meter PPA up to 1,920 MW (supply); current authorized co-located draw 300 MW",DCD 2023-01-17 retrospective (Talen/Cumulus campus first announced Jul 2021),DCD 2023-01-17 (construction began Dec 2021),World Nuclear News 2023-01-18 (first 48MW powered shell complete; Nautilus crypto ops ramping 2023),"Direct connection to the 2.5GW Susquehanna nuclear plant solves the 'energy trilemma' -- 'zero-carbon, low-cost, and reliable electricity' for data center customers, bypassing utility intermediation (Cumulus CEO Alex Hernandez) -- World Nuclear News Jan 2023",owner_operated,300,contracted,2024,"FERC Docket ER24-2172 (order 189 FERC 61,078, Nov 1 2024): existing ISA authorizes 300 MW co-located load at the Susquehanna campus; amendment to 480 MW REJECTED; matched by plant + parties"
Meta,"Richland Parish, LA",LA,32.40,-91.76,2024,2024,,under construction,4,,partial,2024,"Under construction; $10B (since expanded); Meta's largest data center; CAPACITY: also: 1,500 MW targeted online end-2027; Entergy CCGTs approved to serve it total 2,260 MW (supply, not demand basis)",Meta press release (PR Newswire) + Gov. Landry announcement 2024-12-04,Gov. Landry announcement 2024-12-04 (site work to begin Dec 2024; construction through 2030),,"Site 'provides great access to infrastructure, a reliable grid, a business-friendly climate' plus community partnerships (Kevin Janda, Meta Director of Data Center Strategy); Grow NELA CEO: 'reliable, low-cost energy; access to flat, developable land and a business-friendly environment' -- gov.louisiana.gov 2024-12-04",owner_operated,2000,ultimate_buildout,2030,"Meta/Entergy announcements + LPSC docket U-37425 (Aug 2025); utility match: Entergy customer-specific tariff LLHLFPS-L for Laidley LLC (Meta subsidiary), Richland Parish"
Microsoft,"Atlanta metro, GA",GA,33.75,-84.39,2021,2022,,under construction,4,,partial,2024,"[RESEARCHED: Multi-building East US 3 cluster; only one building permit (30.25 MW IT) exists] ROW AMBIGUITY: dated to the East US 3 owned cluster, NOT the separate 'Fairwater' Atlanta AI site (announced 2024, launched Nov 2025); East Point paused then restarted Feb 2024; Palmetto broke ground Apr 2024; region launch slated 2027; legacy hint 2024 mismatched; CAPACITY: No campus-total MW; only one Douglasville building permit figure exists (30.25 MW facility / 18.15 MW IT, Jan 2022)","Azure blog 2021-02-11 (East US 3 region: Fulton and Douglas Counties -- East Point, Palmetto, Douglasville)",local.microsoft.com East Point project update (first-phase site prep underway as of Sep 30 2022),,"Proximity to population centers, qualified labor pool, existing infrastructure, 'access to reliable, stable, and affordable clean power', multiple high-capacity network connections, growing customer demand -- Azure blog 2021-02-11",owner_operated,,,,
Meta,"El Paso, TX",TX,31.76,-106.49,2025,2025,,under construction,4,,partial,2025,"Under construction; announced at $1.5B, later expanded toward $10B (El Paso Matters 2026-03); CAPACITY: also: 366 MW behind-the-meter modular gas by 2027; campus off-grid first ~5 years (DCD); EPE PUC filing exists but robots-blocked","Meta blog 'Hello, El Paso!' / about.fb.com 2025-10-15 (announcement was a groundbreaking)",about.fb.com Oct 2025 (ground broken at announcement),,"'This vibrant city has a robust electrical grid and skilled workforce, and the local partners have been instrumental in propelling this project forward' (Meta) -- Meta blog 2025-10-15",owner_operated,1000,ultimate_buildout,2026,Meta/BlackRock JV announcement of 1 GW El Paso AI campus (Meta investor release Jul 2026; DCD Feb 2026); matched by city + El Paso Electric territory
Vantage/Oracle,"Port Washington, WI",WI,43.39,-87.88,2025,2025,,under construction,4,,partial,2025,Site originally assembled for a failed chip-fab prospect; Vantage identified as operator Jun 2025; OpenAI/Oracle Stargate role revealed Oct 2025; first buildings target ~2028; groundbreaking date Dec 17 vs 18 2025 (same year); CAPACITY: IT capacity 'close to a gigawatt' per Vantage Stargate announcement (Oct 2025); 3.5 GW long-range potential; the 902 MW IT figure could not be re-verified,BizTimes Milwaukee 2025-01-08 (Cloverleaf Infrastructure/city unveil; DCD confirms first public Jan 2025),"BizTimes / Daily Reporter 2025-12-17/18 (groundbreaking, $15B Vantage 'Lighthouse' campus)",,"'Port Washington has all of those attributes in place, giving it a distinct advantage that will be attractive to the kinds of companies that make major investments' (Cloverleaf CDO Aaron Bilyeu -- site attributes incl. a We Energies agreement to bring new 'energy assets' with generation costs borne by the project); M7's Gale Klappa: 'our skilled talent base and our reliable infrastructure' -- BizTimes 2025-01-08",wholesale_leased,1300,contracted,2027,"EEI 'Large Load Projects and Tariffs' (Jul 2026) quoting We Energies: 1,300 MW campus; corroborated '1.3 GW available by 2027' (Badger Institute, We Energies-confirmed); matched by utility + city"
Meta,"Beaver Dam, WI",WI,43.46,-88.84,2025,2025,,under construction,4,datacenters.atmeta.com 2025-11-12; groundbreaking 2025-11-12,partial,2025,Under construction; opening target 2027 (target not placed in field); CAPACITY: Projected peak under approved special rate agreement; contract details sealed,"Meta blog 'Hello, Beaver Dam!' 2025-11-12; same-day WEDC/Alliant releases","Spectrum News 1 WI 2025-11-12 (groundbreaking, same day as announcement)",,"Site offers 'robust access to reliable infrastructure', 'a skilled workforce', and 'great local partners that have been instrumental in propelling this project forward' (Meta) -- Meta blog 2025-11-12",owner_operated,220,contracted,2026,Wisconsin PSC approval (May 2026) of Alliant/WPL-Meta special agreement: 'Meta projects the facility will use 220 MW at peak' (Wisconsin Watch on the PSC decision); matched by customer name + WPL territory
CloudHQ,"MCC Campus (Manassas), VA",VA,38.72,-77.50,2017,,2017,operating,3,,partial,,TENANT: Microsoft -- DCF 2017 + DCF leasing review ('Microsoft has leased 35 MW from CloudHQ in Manassas'); DCK 2020 (60 MW). Construction start of first building unsourced,Data Center Frontier Aug 2017 (MCC1 unveiled),,DCF Aug 2017 / DCD (MCC1 in service with 35 MW anchor),Adjacency to Dominion's Clover Hill substation ('300 MVA of capacity') plus CloudHQ-built 8 miles of fiber conduit along Route 234 -- DCF 2017,wholesale_leased,382,ultimate_buildout,2025,"cloudhq.com MCC campus page: '382 MWs Total Critical IT Load', 7 buildings; current as-built not published (MCC1 was 43 MW, DCF 2017)"
CloudHQ,"LC Campus (Ashburn), VA",VA,39.02,-77.45,,,2019,operating,3,,partial,,"TENANT: Meta -- DCK Top 2020 US Lessees ('Facebook... 72MW lease with CloudHQ' Ashburn, matches ABS 72 MW/19.8-yr tenant); second 88 MW Aaa-rated hyperscale tenant unnamed. Announcement year unsourced",,,Baxtel CloudHQ Ashburn profile (LC1A/LC1B completed 2019),none stated found,wholesale_leased,160,contracted,2021,DCD 'CloudHQ seeks $1.4 billion in ABS funding': LC1A+LC2 fully leased 160 MW triple-net to hyperscalers; ultimate '14 buildings and 1.7 GW'
COPT (COPT Defense Properties),"Northern Virginia AWS shell portfolio (Ashburn/Manassas/Sterling), VA",VA,,,,2015,,operating,2,,partial,,"PORTFOLIO ROW, not a single campus: 26 single-tenant shells across three submarkets; TENANT: AWS -- DCF ('COPT is AWS' primary data center developer in Northern Virginia'); Dgtl Infra: AWS leases 5.0M sqft from COPT, $54.5M annual rent. Lat/lon blank deliberately",,"DCF 2018 ($383M program; ~2M sqft leased to AWS over prior three years) -- earliest shells mid-2010s, exact year unpinned",,none stated found,wholesale_leased,,,,MW never disclosed (powered-shell product; AWS installs its own electrical fitout) -- blank per no-conversion rule
Microsoft,"Leesburg (Compass Creek), VA",VA,39.07,-77.56,2018,,,operating,3,,partial,,IAD01-1/-2 operational per Dgtl Infra 2022 survey (year unsourced); IAD02/IAD03 under construction. Owner-operated omission found by coverage pass,"DCF 'Microsoft Buys Land in Dulles Cloud Corridor' (300+ acres, 2018)",,,none stated found (context: hyperscalers moving beyond Ashburn as land grew scarce/expensive -- DCF),owner_operated,180,facility_load,2022,Dgtl Infra 'AWS and Microsoft Data Centers in Virginia': 'Power target: 180 megawatts' for the 323-acre campus (basis treated as facility power target)
Google,"Loudoun County (Stonewall Business Park + Arcola Center), VA",VA,38.95,-77.53,2017,2018,2019,operating,3,,yes,,"Owner-operated omission found by coverage pass; $600M expansion announced, $1.8B total VA investment",Loudoun Now 2017-11-29 ('Google Plans 2 Loudoun Data Centers'; land buys Jun/Oct 2017),"Loudoun Now 2017 ('construction expected to start next year') -- stated expectation, not a confirmed start record",Loudoun County DED release (Google 'has operated in Loudoun County since 2019'); Arcola ARA1A built 2020 (Baxtel),'The availability of ample electricity is a driving factor' -- Stonewall adjacent to a power plant and the county's largest transmission corridor; Arcola on Dominion's new 230 kV Rt 50 line -- Loudoun Now 2017,owner_operated,,,,No MW figure in any named source (county releases cite dollars/acres)
Microsoft,"Manassas/Bristow (MNZ campus, Balls Ford Rd + Devlin Rd), VA",VA,38.79,-77.53,,,2025,operating,4,,no,,"Owner-operated omission found by coverage pass; documented via county filings (Dgtl Infra 2022); no announcement press located. ERA FIX 2026-08-15: was unclassified for lack of any date, status wrongly carried as under construction for the whole row. MNZ03 (Devlin Rd/Bristow) is operational, built 2025, per Baxtel; MNZ01-02 (Balls Ford Rd) remains planned, target 2028, also per Baxtel. Row is a multi-phase combined campus; first_operation=2025 taken from the earliest operational sub-building, era bucketed accordingly. Verify against a primary source (county occupancy permit or Microsoft statement) before treating first_operation as firm.",,,"Baxtel, Microsoft MNZ03 data center page (accessed 2026-08-15): status operational, year built 2025, 8008 Devlin Road, Bristow. The Balls Ford Rd phase (MNZ01-02) remains planned per Baxtel MNZ02 page, target 2028; first_operation reflects the earliest operational sub-building on this combined campus row, not the full campus.",none stated found,owner_operated,96,contracted,2022,"Dgtl Infra: 'Power allocation: 96 megawatts' for the Balls Ford Rd phase (MNZ01-02); Bristow MNZ03-05 additional, MW unpublished"
Compass Datacenters,"Red Oak (Ellis County, DFW), TX",TX,32.53,-96.78,2019,2020,2020,operating,3,,yes,,TENANT: Microsoft -- CoStar 2024-10-03 ('expected to be the user' of the three ~$300M expansion buildings); earlier-building tenants unnamed. 9 buildings operating per Baxtel 2026,DCD 2024-09-26 retrospective (165 acres acquired 2019); formal PR 2020-01-29 (PR Newswire),Compass PR 2020-01-29 ('construction already underway'),Compass PR 2020-01-29 (first DC scheduled Q2 2020); Baxtel (first building built 2020),'The Dallas area continues to be one of the most dynamic data center markets in the country... clear line of sight to dedicated growth' (CEO Chris Crosby) -- PR 2020-01-29,wholesale_leased,350,ultimate_buildout,2020,Compass PR 2020-01-29: '350+ MW of IT load' at full build; +375 acres acquired Apr 2023 for expansion beyond; no current-operational MW or Oncor figure public
DataBank,"Red Oak (DFW9-DFW16), TX",TX,32.51,-96.75,2024,2025,2026,operating,4,,yes,,TENANT: Oracle -- Business Insider via Dallas Innovates 2026-06-16 ('Oracle will be the tenant for all three... as well as the fourth'). DFW9 start-date inconsistency in DCD flagged,DCD 2025-06-20 (campus announced Sep 2024; 292 acres),"DCD 2025-06-20 / TDLR filings (DFW10 Feb 2025, DFW11 Dec 2025; DFW9 earlier)",CoStar 2026 + DataBank campus page (DFW9 operational at 60 MW critical IT),Financing release framing only: Dallas 'a core metro for Internet and A.I. infrastructure' (Dallas Innovates 2026-04); otherwise none stated found,wholesale_leased,60,it_load,2026,DataBank Red Oak campus page (accessed 2026-08): DFW9 operational 60 MW critical IT; phase 1 = 400 MW substation/300 MW critical across 4 bldgs; ultimate 480 MW across 8 (DCD)
Microsoft,"Fairwater Atlanta (Palmetto/South Fulton), GA",GA,33.54,-84.66,2025,,2025,operating,4,,partial,,"DISTINCT from the 'Atlanta metro, GA' East US 3 row (same Palmetto land bank, different facility); construction start not disclosed (land assembled from 2021)",Microsoft Source blog / DCD Nov 2025 (revealed at launch),,"Rough Draft Atlanta 2025-11-12 / DCD (operating from Oct 2025, launched Nov 12 2025)","Chose Atlanta for a 'reliable grid' (Georgia Power) allowing operation without UPS/gen-sets/dual-cord, cutting cost and time-to-market -- DCD Nov 2025; land+power availability for distributed AI training -- Microsoft Source",owner_operated,,,,"Microsoft did not disclose MW (DCD); interconnection.fyi lists 250+ MW -- tracker-grade, excluded from field"
QTS,"Atlanta-Metro (1033 Jefferson St), GA",GA,33.79,-84.42,,,2007,operating,1,,partial,,TENANCY FLAG: hyperscale anchors documented by QTS PRs (19 MW renewal w/ two hyperscale anchors 2018; 16+ MW to two 'strategic hyperscale customers' 2020) but NEVER NAMED -- borderline under the naming rule; included with this flag. Campus dates to QTS's 2006-07 conversion of an existing industrial building,,,Baxtel campus profile (DC-1 built/opened 2007); DC-2 opened Oct 22 2020 (QTS PR),"Two of the largest data-center-owned substations in the country, power under 4 cents/kWh, lowest-cost in the Southeast, speed-to-market -- QTS PR Oct 2020",wholesale_leased,275,ultimate_buildout,2020,QTS DC-2 opening PR: >275 MW at full development (facility basis); DC-2 alone 72 MW; current campus total unpublished
Google,"New Albany, OH",OH,40.08,-82.75,2019,2019,2021,operating,3,,yes,,[RESEARCHED: AEP aggregate; no site-specific regulatory mapping] Owner-operated omission found by coverage pass,DCD Aug 2021 / Construction Dive Nov 2019 (announced 2019 after 2018 'Montauk Innovations' land talks),"Construction Dive Nov 2019 (broke ground Nov 2019, $600M first phase)",DCD Aug 2021 (operational as of $1B expansion announcement),"Central Ohio rationale (partly analyst-attributed): land/water availability, low disaster risk, tax incentives, 50% of US population within 750 miles -- Construction Dive May 2023; none stated by Google per-site",owner_operated,,,,No MW published; AEP Ohio public figures are aggregate; >$4.4B cumulative site investment
Google,"Columbus (Lockbourne), OH",OH,39.83,-82.99,2023,2023,,operating,4,,partial,,Operational as of 2026 (datacentermap) but in-service YEAR not publicly dated -- first_operation blank per rules,NBC4i / Ohio Capital Journal 2023-05-08 (announced with Lancaster),Construction Dive May 2023 (construction underway at announcement; land bought 2021),,Central Ohio rationale as above (Construction Dive May 2023); none site-specific,owner_operated,,,,No MW published; part of $1.7B Columbus+Lancaster+New Albany completion funding (AP Aug 2023)
Google,"Lancaster, OH",OH,39.74,-82.66,2023,2023,2024,operating,4,,yes,,[RESEARCHED: AEP aggregate; no per-campus figure] Owner-operated omission found by coverage pass,NBC4i / Ohio Capital Journal 2023-05-08,datacentermap / Construction Dive (ground broken 2023; land bought 2021),"Baxtel Google Lancaster + datacentermap (first facility completed 2024, operational)",Central Ohio rationale as above; none site-specific,owner_operated,,,,No MW published; ~120-acre campus
Vantage Data Centers,"Frontier (Stargate, Shackelford County), TX",TX,32.74,-99.35,2025,2025,,under construction,4,,partial,,TENANT: Oracle/OpenAI -- OpenAI PR 2025-09-23; Oracle fact sheet (Sep 2025) lists site under Oracle 5.5 GW. First building delivery targeted H2 2026,OpenAI 'Five new Stargate sites' PR 2025-09-23,Epoch AI Stargate tracker (site work Q3 2025); official groundbreaking 2025-12-15 (DCD),,none stated found (OpenAI PR: sites chosen from 300+ proposals; no site-specific rationale),wholesale_leased,1400,ultimate_buildout,2025,"Vantage/DCD groundbreaking: $25B, 1.4 GW, 10 buildings, 1,200 acres, VoltaGrid on-site gas; Epoch AI estimates 2.0 GW ultimate; no ERCOT queue record found"
SB Energy (SoftBank),"Freebird (Stargate, Milam County), TX",TX,30.79,-96.98,2025,2025,,under construction,4,,partial,,TENANT: OpenAI (SoftBank owns hardware) -- OpenAI PR; TDLR filing lists OpenAI tenant contact (DCD 2026-04). First building targeted Oct 2026,OpenAI 'Five new Stargate sites' PR 2025-09-23,Epoch AI (Q3 2025); ground broken Oct 2025 (MeasuredAI); topped out by Mar 2026 (TDLR via DCD),,SB Energy 'fast-build' powered infrastructure with new generation+storage funded by SoftBank -- OpenAI PR 2025-09-23,wholesale_leased,1200,ultimate_buildout,2026,"DCD/SB Energy Jan 2026 (1.2 GW); OpenAI Sep 2025: the two SoftBank sites scale to 1.5 GW combined over 18 months; phase 1 = 548,950 sqft (TDLR)"
BorderPlex Digital Assets / STACK,"Project Jupiter (Stargate, Dona Ana County), NM",NM,31.87,-106.70,2025,2025,,under construction,4,,partial,,TENANT: Oracle/OpenAI -- OpenAI PR; Oracle fact sheet lists STACK + Orion Digital as developers. Construction-start conflict flagged,OpenAI PR 2025-09-23 (county IRB approved Aug 2025),"Epoch AI (Q4 2025; foundation work on satellite by Apr 2026) -- CONFLICT: MeasuredAI (2026-03) says no confirmed start, air permit pending",,none stated found (county materials cite economic development),wholesale_leased,2200,ultimate_buildout,2026,"Epoch AI ESTIMATE (2.2 GW, 4 buildings, two gas microgrids) -- no official per-site MW; MeasuredAI cites up to 4.5 GW planned; county IRB up to $165B. Third-party estimate, flagged"
SoftBank / Foxconn,"Lordstown (Stargate), OH",OH,41.16,-80.84,2025,2025,,under construction,4,,partial,,TENANT: OpenAI -- OpenAI PR (SoftBank owns hardware). Weakest Stargate site; Lordstown has since banned future data centers (Epoch AI),OpenAI PR 2025-09-23,"Epoch AI (Q4 2025; land cleared, limited DC construction visible)",,OpenAI PR cites SoftBank's advanced data center design enabling speed; site is the former Foxconn/Lordstown Motors EV plant,unknown,,,,Only announced figure is 1.5 GW COMBINED with Milam (OpenAI PR); Epoch AI estimates <0.3 GW and reads the site as primarily AI-server manufacturing -- blank per rules
Related Digital,"The Barn (Stargate, Saline Township), MI",MI,42.09,-83.85,2025,2025,,under construction,4,,partial,,TENANT: Oracle/OpenAI -- Related PR; Oracle blog 2025-10-18. Township referendum voted the project down ~Apr 2026 yet construction proceeded (Fortune 2026-05-06),"Related Companies PR 2025-10-30 (OpenAI, Oracle, Related Digital announce)",Epoch AI (Q4 2025 foundations); DCD 'Oracle and OpenAI start construction'; MPSC power approval Dec 2025,,"none stated found (DTE Energy supplies 100% of power plus project-financed battery storage -- arrangement, not stated rationale)",wholesale_leased,1400,ultimate_buildout,2025,Related PR / Epoch AI 1.4 GW (MeasuredAI 1.38 GW)
Applied Digital,"Polaris Forge 1 (Ellendale), ND",ND,46.02,-98.52,2023,2023,2025,operating,4,,yes,,TENANT: CoreWeave -- APLD PRs (GlobeNewswire). Utility: MDU. Fills North Dakota,Applied Digital PR 2023-10-31 (groundbreaking announcement),Applied Digital PR 2023-10-31 (groundbreaking; 100 MW building),"APLD PR 2025-10-27 (Phase 1, 50 MW of first 100 MW building, Ready for Service for CoreWeave)","ND cold climate, proprietary cooling, renewable power access -- APLD PR 2025-10-27 ($2.7B lifecycle savings claim)",wholesale_leased,400,contracted,2025,"APLD PR 2025-10-27: 'fully leased 400 MW critical IT load' to CoreWeave (250 MW Jun 2025 + 150 MW added; ~15-yr leases, ~$11B); campus engineered to expand to 1 GW (ultimate)"
Core Scientific / CoreWeave,"Denton, TX",TX,33.23,-97.19,2024,2024,2025,operating,4,,yes,,"TENANT: CoreWeave under 12-yr contracts (~$8.7B, 500 MW across Core Scientific sites -- CORZ PR); OpenAI reported likely end user (WSJ via Epoch AI)","Epoch AI directory (conversion of Core Scientific bitcoin site to AI began Nov 2024); expansion PR 2025-02-26 (Businesswire, $1.2B)",Epoch AI (Nov 2024 conversion start),Epoch AI (first 8 MW tranche running AI workloads May 2025; all seven halls operational Jul 2026),Conversion leverages existing energized bitcoin-mining site/power infrastructure -- Core Scientific PR framing,wholesale_leased,262,it_load,2026,"Epoch AI directory (262 MW IT, seven halls); full-site current figure"
Core Scientific / CoreWeave,"Muskogee (Port Muskogee), OK",OK,35.79,-95.31,2024,2024,,under construction,4,,partial,,"TENANT: CoreWeave -- CORZ PR / DCD. Later 440 MW expansion announced -- expansion tenant NOT confirmed CoreWeave; expected operational 2026 (target, not placed in field)",Core Scientific PR 2024-11-18 (groundbreaking with Port Muskogee),Core Scientific PR 2024-11-18,,none stated found,wholesale_leased,70,contracted,2024,CORZ PR: 100 MW total facility / 70 MW critical IT contracted to CoreWeave (part of 500 MW/$8.7B 12-yr contracts)
Nebius,"Vineland, NJ",NJ,39.47,-75.05,2025,,,under construction,4,,partial,,TENANT/CONTRACT: Microsoft -- Nebius PR 2025-09-08 / DCD ($17.4B up to $19.4B 5-yr dedicated GPU capacity served from Vineland). Construction start not cleanly sourced; delivery delays reported. Fills New Jersey,Nebius newsroom PR 2025-03-05 (up to 300 MW NJ data center),,,"none stated found (PR cites US expansion flexibility, own design efficiency)",owner_operated,300,ultimate_buildout,2025,Nebius PR 'up to 300 MW' design capacity; DataOne is co-developer/landlord per cleanview -- ownership split not fully documented
